Maths,Physics,English,Economics,Biology
86,92,43,62,61
74,40,32,88,59
35,97,82,65,25
20,72,51,62,12
35,83,47,63,58
97,78,47,26,24
52,79,40,72,59
60,41,70,16,92
24,12,84,66,84
83,22,30,78,86
81,90,44,50,91
12,90,61,33,81
49,33,62,43,37
45,60,79,45,50
22,52,78,11,28
39,24,27,52,65
15,98,69,66,13
72,84,77,84,56
80,83,77,13,49
93,96,38,73,86
66,80,48,54,92
65,45,42,17,94
41,39,75,13,80
32,62,36,94,42
44,42,64,43,34
79,76,19,90,75
48,48,16,83,91
34,81,87,59,35
31,53,80,98,37
21,36,17,49,30
55,84,94,52,33
58,98,42,27,94
42,38,87,70,93
90,26,39,88,38
33,84,90,74,18
24,45,20,94,54
66,60,89,29,41
93,94,45,74,78
83,89,38,48,22
11,95,52,10,56
94,97,79,44,95
33,57,41,76,72
37,62,40,95,99
49,59,40,29,53
92,69,20,72,79
40,99,67,43,82
32,73,35,78,63
94,32,62,73,51
97,50,69,52,59
54,49,55,42,39
99,81,96,30,85
43,87,36,68,69
61,67,36,66,26
52,27,73,45,86
29,79,78,15,63
60,67,98,62,35
16,12,33,49,97
88,35,51,53,32
45,19,38,14,43
30,81,33,55,58
44,98,29,89,26
35,49,49,86,73
48,66,41,12,18
13,73,44,84,20
37,12,82,90,50
17,75,28,93,38
49,88,64,39,45
34,82,52,86,39
16,83,21,97,65
87,50,81,56,85
70,69,86,69,60
91,68,38,35,74
70,78,59,64,49
29,47,46,19,53
56,77,25,67,90
20,89,88,95,50
75,31,21,39,45
38,81,39,10,65
73,36,16,85,68
71,66,16,94,71
79,43,61,57,10
67,32,17,67,17
88,79,80,77,20
65,68,39,57,65
78,63,57,37,34
28,72,47,59,48
31,53,84,19,44
73,83,31,56,33
80,21,80,68,26
98,69,66,80,93
39,23,16,24,16
43,44,59,95,74
26,85,93,28,35
57,52,19,24,75
38,18,11,11,16
52,58,41,32,17
44,33,32,50,46
78,87,40,81,15
67,16,92,45,96
10,96,96,67,12
48,85,41,77,95
45,15,60,72,29
27,81,23,92,27
92,49,73,41,30
78,78,41,84,43
30,95,81,94,18
72,21,47,49,28
98,20,81,94,63
68,58,42,45,85
33,55,10,89,59
70,70,89,90,39
49,20,39,81,66
20,82,61,67,67
85,20,13,87,27
28,26,97,44,16
15,51,95,12,40
29,91,16,93,96
67,61,32,92,97
69,55,17,66,92
60,78,27,16,69
41,11,42,53,46
36,51,65,83,24
50,37,23,40,55
30,27,56,54,85
87,38,58,40,16
70,99,76,77,73
43,57,74,42,61
78,18,53,38,77
36,47,38,70,27
99,26,42,18,14
76,39,70,68,96
27,19,52,90,76
28,56,17,38,39
86,86,87,89,68
14,96,58,77,99
88,54,49,62,79
36,45,73,63,29
30,26,80,79,64
67,14,61,19,41
10,73,80,21,97
54,12,30,21,53
43,43,14,97,70
73,68,10,69,27
63,27,44,60,36
73,75,46,45,53
38,28,46,62,26
10,26,76,17,64
40,76,81,32,89
56,67,38,15,45
65,60,84,76,66
48,12,17,12,40
41,39,73,36,61
63,15,95,92,60
75,74,38,14,79
81,99,82,87,98
39,76,84,40,45
41,80,82,35,11
36,24,83,21,20
15,87,69,68,71
49,97,86,69,69
42,61,71,98,16
74,32,58,88,40
88,28,48,43,88
45,78,38,47,13
56,44,85,31,14
14,32,65,79,36
21,80,30,44,24
86,83,14,97,75
84,28,14,41,69
89,24,37,58,36
76,39,46,60,19
60,56,97,92,89
82,13,70,74,96
62,55,53,86,13
15,91,23,42,99
47,61,45,40,56
53,36,69,14,70
46,26,71,82,26
45,30,69,71,42
16,35,80,40,95
